City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Hedland,AU,-20.3167,118.5667,50.05,53,1,8.05,clear sky
80,Kodiak,US,57.79,-152.4072,56.71,82,100,10.36,overcast clouds
81,Coihaique,CL,-45.5752,-72.0662,35.55,93,100,0.0,mist
82,Longyearbyen,SJ,78.2186,15.6401,40.84,75,75,8.05,broken clouds
83,Igrim,RU,63.1906,64.4162,61.48,77,26,4.29,scattered clouds
84,Geraldton,AU,-28.7667,114.6,63.01,63,100,11.5,overcast clouds
85,East London,ZA,-33.0153,27.9116,70.23,33,0,10.38,clear sky
86,Bam,IR,29.106,58.357,88.41,12,34,7.36,scattered clouds
87,Show Low,US,34.2542,-110.0298,80.89,37,75,10.36,broken clouds
88,Bredasdorp,ZA,-34.5322,20.0403,51.1,82,0,6.02,clear sky
89,Upernavik,GL,72.7868,-56.1549,39.11,86,5,9.62,clear sky
90,Tocopilla,CL,-22.092,-70.1979,62.82,74,100,6.44,overcast clouds
91,Dubovyy Umet,RU,52.9763,50.2857,63.82,86,90,4.81,light rain
92,Jamestown,US,42.097,-79.2353,74.52,54,0,11.5,clear sky
93,Ornskoldsvik,SE,63.2909,18.7153,52.75,100,100,4.61,overcast clouds
94,Chokurdakh,RU,70.6333,147.9167,57.97,38,21,8.19,few clouds
95,Hamina,FI,60.5697,27.1979,56.48,83,100,5.82,overcast clouds
96,Cascais,PT,38.6979,-9.4215,81.75,70,0,10.65,clear sky
97,Hovd,MN,48.0056,91.6419,60.76,53,42,2.66,scattered clouds
98,Jumla,NP,29.2747,82.1838,59.85,91,100,1.9,overcast clouds
99,Georgetown,MY,5.4112,100.3354,83.89,81,20,0.0,heavy intensity rain
100,Portland,US,45.5234,-122.6762,83.61,48,75,9.22,broken clouds
101,Tooele,US,40.5308,-112.2983,101.89,18,0,25.32,clear sky
102,Tuatapere,NZ,-46.1333,167.6833,40.32,72,19,3.53,few clouds
103,Vestmannaeyjar,IS,63.4427,-20.2734,52.63,93,100,15.1,overcast clouds
104,Wajima,JP,37.4,136.9,74.79,90,95,4.16,overcast clouds
105,Vardo,NO,70.3705,31.1107,48.18,87,99,5.75,overcast clouds
106,Waipawa,NZ,-41.4122,175.5153,45.16,64,100,8.95,overcast clouds
107,Palu,ID,-0.8917,119.8707,74.53,95,100,4.29,overcast clouds
108,Dzhuryn,UA,49.0329,25.5839,55.56,79,76,6.93,broken clouds
109,Yangjiang,CN,21.85,111.9667,80.1,90,58,4.65,broken clouds
110,Olafsvik,IS,64.8945,-23.7142,51.51,91,100,15.1,overcast clouds
111,Ambon,ID,-3.6954,128.1814,77.23,16,40,6.91,moderate rain
112,Pisco,PE,-13.7,-76.2167,61.02,88,0,18.41,clear sky
113,Lekoni,GA,-1.5843,14.2591,79.2,46,99,7.74,overcast clouds
114,Fortuna,US,40.5982,-124.1573,72.93,70,0,5.99,clear sky
115,Mithi,PK,24.7318,69.7981,83.43,78,100,12.73,overcast clouds
116,Tasiilaq,GL,65.6145,-37.6368,44.76,79,99,0.43,overcast clouds
117,Saint George,US,37.1041,-113.5841,107.64,10,0,20.71,clear sky
118,Beringovskiy,RU,63.05,179.3167,50.4,84,100,14.65,overcast clouds
119,Jevnaker,NO,60.2414,10.385,54.36,76,27,3.85,scattered clouds
120,Avarua,CK,-21.2078,-159.775,77.05,57,67,14.97,broken clouds
121,Bayir,TR,37.2687,28.2167,63.12,76,0,3.78,clear sky
122,Anadyr,RU,64.75,177.4833,55.9,94,75,8.95,moderate rain
123,Atuona,PF,-9.8,-139.0333,77.86,77,23,18.01,few clouds
124,Sarany,RU,58.5,58.8833,58.28,90,2,1.1,clear sky
125,Ojinaga,MX,29.5667,-104.4167,103.57,24,0,10.36,clear sky
126,Necochea,AR,-38.5473,-58.7368,52.47,94,94,8.77,overcast clouds
127,Praia,CV,14.9215,-23.5087,75.31,82,61,8.05,broken clouds
128,Mataura,NZ,-46.1927,168.8643,38.48,78,39,1.5,scattered clouds
129,Batagay-Alyta,RU,67.8006,130.4114,57.07,63,100,4.76,overcast clouds
130,Jiexiu,CN,37.0244,111.9125,71.82,87,70,6.51,broken clouds
131,Tual,ID,-5.6667,132.75,79.68,83,52,22.3,broken clouds
132,Quatre Cocos,MU,-20.2078,57.7625,68.11,67,44,21.27,scattered clouds
133,Port Alfred,ZA,-33.5906,26.891,66.18,65,0,8.99,clear sky
134,San Angelo,US,31.4638,-100.437,98.82,25,0,13.8,clear sky
135,Batouri,CM,4.4333,14.3667,67.37,98,77,2.93,broken clouds
136,Bodden Town,KY,19.2833,-81.25,86.0,69,40,11.5,scattered clouds
137,Kashan,IR,33.9831,51.4364,86.36,16,6,5.55,clear sky
138,Dingle,PH,10.9995,122.6711,78.03,91,88,10.33,overcast clouds
139,Bethel,US,41.3712,-73.414,80.94,42,0,8.05,clear sky
140,Mokrousovo,RU,55.8103,66.7653,61.63,79,47,2.93,scattered clouds
141,Oranjemund,NA,-28.55,16.4333,56.19,83,1,22.5,clear sky
142,Lasa,IT,46.6166,10.7002,60.37,84,60,6.51,broken clouds
143,Bay Roberts,CA,47.5999,-53.2648,63.05,76,78,4.0,broken clouds
144,Meulaboh,ID,4.1363,96.1285,75.56,88,100,3.67,light rain
145,Stornoway,GB,58.2093,-6.3865,55.36,93,100,9.22,light intensity drizzle
146,Peterhead,GB,57.5058,-1.7981,59.4,78,97,8.84,overcast clouds
147,Forst,DE,51.7333,14.6333,58.86,83,55,7.49,broken clouds
148,Ajaccio,FR,42.0,8.9167,68.05,56,0,6.91,clear sky
149,Roebourne,AU,-20.7833,117.1333,60.84,30,1,9.15,clear sky
150,Punta Arenas,CL,-53.15,-70.9167,28.51,80,20,11.5,few clouds
151,Khorinsk,RU,52.1657,109.7726,60.35,55,16,7.65,few clouds
152,Luangwa,ZM,-15.6167,30.4167,62.92,68,36,3.0,scattered clouds
153,Oistins,BB,13.0667,-59.5333,82.49,78,20,20.71,few clouds
154,Beloha,MG,-25.1667,45.05,59.7,62,0,8.66,clear sky
155,Provideniya,RU,64.3833,-173.3,49.46,90,100,10.33,overcast clouds
156,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,8.05,mist
157,Bengkulu,ID,-3.8004,102.2655,73.92,86,10,4.34,clear sky
158,Waitati,NZ,-45.75,170.5667,41.88,69,8,2.82,clear sky
159,Mayumba,GA,-3.432,10.6554,68.83,91,77,5.79,broken clouds
160,Kiunga,PG,-6.1219,141.2906,74.57,97,92,2.35,overcast clouds
161,Sitka,US,57.0531,-135.33,58.89,77,100,6.91,overcast clouds
162,Whitianga,NZ,-36.8333,175.7,61.45,78,10,1.23,clear sky
163,Qostanay,KZ,53.1667,63.5833,57.49,82,0,4.47,clear sky
164,Jiayuguan,CN,39.8167,98.3,74.82,24,21,4.59,few clouds
165,Dikson,RU,73.5069,80.5464,32.81,92,83,7.31,broken clouds
166,Pacific Grove,US,36.6177,-121.9166,83.55,77,20,10.36,few clouds
167,Ribeira Grande,PT,38.5167,-28.7,67.5,79,57,11.83,broken clouds
168,Buy,RU,58.4786,41.53,58.6,88,96,6.22,overcast clouds
169,Faya,SA,18.3851,42.4509,63.12,35,100,3.47,overcast clouds
170,Sioux Lookout,CA,50.1001,-91.917,82.47,32,87,9.46,overcast clouds
171,Kaffrine,SN,14.1059,-15.5508,83.21,67,51,12.1,broken clouds
172,Naze,JP,28.3667,129.4833,80.55,84,9,8.05,clear sky
173,Gniezno,PL,52.5348,17.5826,58.89,74,64,7.05,broken clouds
174,Nanma,CN,36.1817,118.1583,79.41,73,71,2.84,moderate rain
175,Te Anau,NZ,-45.4167,167.7167,36.37,81,42,1.83,scattered clouds
176,Barrow,US,71.2906,-156.7887,57.22,67,0,12.66,clear sky
177,Saskylakh,RU,71.9167,114.0833,50.88,73,100,6.04,overcast clouds
178,Moroni,KM,-11.7022,43.2551,74.35,71,5,4.88,clear sky
179,Carnarvon,AU,-24.8667,113.6333,67.62,85,64,21.88,broken clouds
180,Hofn,IS,64.2539,-15.2082,50.76,90,100,5.73,overcast clouds
181,Lata,PT,40.1629,-8.3327,67.35,59,0,1.88,clear sky
182,Kouroussa,GN,10.65,-9.8833,72.55,94,61,4.85,moderate rain
183,Narsaq,GL,60.9167,-46.05,55.62,87,23,3.22,few clouds
184,Severo-Kurilsk,RU,50.6789,156.125,59.0,84,100,13.0,overcast clouds
185,Ostrovnoy,RU,68.0531,39.5131,45.39,92,95,1.19,overcast clouds
186,Tucuman,AR,-26.8241,-65.2226,59.0,67,20,4.61,few clouds
187,Bonfim,BR,3.0833,-59.95,77.86,86,77,5.37,broken clouds
188,Darnah,LY,32.767,22.6367,77.5,74,1,19.13,clear sky
189,Lorengau,PG,-2.0226,147.2712,83.57,75,94,12.08,overcast clouds
190,Mar Del Plata,AR,-38.0023,-57.5575,55.09,94,100,8.01,mist
191,Nipawin,CA,53.3668,-104.0009,78.84,61,0,10.36,clear sky
192,Zaozerne,UA,45.1582,33.2787,73.42,65,67,3.09,broken clouds
193,Ayan,RU,56.45,138.1667,61.23,80,66,9.71,broken clouds
194,Bridlington,GB,54.0831,-0.1919,60.89,81,15,7.47,few clouds
195,Camacari,BR,-12.6975,-38.3242,78.57,77,10,6.76,clear sky
196,Yelizovo,RU,53.1873,158.3805,87.94,58,0,4.47,clear sky
197,Kodinsk,RU,58.6881,99.1844,60.49,69,52,1.1,broken clouds
198,Margate,GB,51.3813,1.3862,60.31,84,12,7.0,few clouds
199,Yashkul,RU,46.1711,45.3435,76.64,39,34,7.56,scattered clouds
200,Hvolsvollur,IS,63.7533,-20.2243,52.27,97,100,13.15,overcast clouds
201,Pilar,BR,-9.5972,-35.9567,71.53,94,44,9.06,scattered clouds
202,Moose Factory,CA,51.2585,-80.6094,69.8,52,0,8.05,clear sky
203,Chara,RU,56.9064,118.2631,54.7,89,100,1.61,light rain
204,Emba,KZ,48.8264,58.1442,67.78,60,10,8.48,clear sky
205,Pangnirtung,CA,66.1451,-65.7125,47.25,73,83,3.91,broken clouds
206,Tiksi,RU,71.6872,128.8694,54.99,54,100,9.75,overcast clouds
207,Rawson,AR,-43.3002,-65.1023,49.24,57,98,8.43,overcast clouds
208,Soledade,BR,-28.8183,-52.5103,60.4,87,39,6.26,scattered clouds
209,La Palma,US,33.8464,-118.0467,99.97,50,20,10.36,few clouds
210,Butaritari,KI,3.0707,172.7902,81.46,79,40,13.02,light rain
211,Gizo,SB,-8.103,156.8419,82.36,66,29,4.56,scattered clouds
212,Vermilion,US,40.1667,-87.7506,82.74,60,40,12.66,scattered clouds
213,Northam,GB,51.0333,-4.2167,60.39,88,0,1.57,clear sky
